domain,label,confidence,brand_name_primary,brand_names_all,country_primary,countries_all,sources,classification_reasons,text_score,vision_score,stage_used
blancheporte.fr,Bodywear Leaning,0.4530172413793103,Blancheporte,Blancheporte,France,France,FU,"bodywear:lingerie,pyjama,sous-vêtements,soutien-gorge,culotte;generalist:accessoires,chaussures,maison;vision_screenshot:0.30",0.6060344827586207,0.3,http+vision
aruelle.com,Bodywear Leaning,0.45,ARUELLE,ARUELLE,Lithuania,Lithuania,HS fairs,"bodywear:underwear,pajamas;generalist:home",0.45,,http
dstm.co,Bodywear Leaning,0.4425,DSTM,DSTM,Germany,Germany,HS fairs,"bodywear:lingerie,swimwear,bodywear;generalist:accessories;vision_screenshot:0.10",0.785,0.1,http+vision
damart.fr,Bodywear Leaning,0.4395833333333333,Damart,Damart,France,France,FU|HS segment,"bodywear:lingerie,sous-vêtements,maillots,nuit;generalist:manteaux,vestes,chaussures;vision_screenshot:0.25",0.6291666666666667,0.25,http+vision
daxon.fr,Bodywear Leaning,0.4266304347826087,MOVITEX SHARING,MOVITEX SHARING,France,France,Dealfront,"bodywear:lingerie,slip,pyjama,sous-vêtements,soutien-gorge;generalist:accessoires,chaussures,baskets;vision_screenshot:0.10",0.7532608695652174,0.1,http+vision
undress-code.com,Bodywear Leaning,0.4225806451612903,Undress Code,UNDRESS CODE|Undress Code,Poland,Poland,FU|HS fairs,"bodywear:lingerie,bras,panties,swim;generalist:jackets,accessories;vision_screenshot:0.10",0.7451612903225806,0.1,http+vision
item-m6.com,Bodywear Leaning,0.4211538461538462,ITEM m6,ITEM m6|MEDI GMBH & CO. KG,Germany,Germany,FU|Supreme Body & Beach,"bodywear:shapewear;generalist:jeans,beauty;vision_screenshot:0.45",0.3923076923076923,0.45,http+vision
indesmalla.com,Bodywear Leaning,0.4197674418604651,INDESMALLA SA,INDESMALLA SA,Spain,Spain,HS fairs,bodywear:lingerie;generalist:outerwear;vision_screenshot:0.05,0.7895348837209303,0.05,http+vision
carlross.de,Bodywear Leaning,0.4166666666666667,CARL ROSS GMBH & CO. KG,CARL ROSS GMBH & CO. KG|Carl Ross Textil GmbH,Germany,Germany,HS fairs|Supreme Body & Beach,bodywear:nachtwäsche;generalist:home;vision_screenshot:0.55,0.2833333333333333,0.55,http+vision
liebaert.com,Bodywear Leaning,0.413,MARCEL LIEBAERT NV,MARCEL LIEBAERT NV,Belgium,Belgium,HS fairs,bodywear:lingerie;generalist:home;vision_screenshot:0.05,0.776,0.05,http+vision
trigema.de,Bodywear Leaning,0.408,TRIGEMA Inh. W. Grupp e.K.,TRIGEMA Inh. W. Grupp e.K.,Germany,Germany,Dealfront,"bodywear:underwear,nightwear,swimwear;generalist:jackets,accessoires",0.408,,http
209mare.com,Bodywear Leaning,0.405,209 MARE,209 MARE,France,France,FU,vision_screenshot:0.45;text_extraction_failed,0.0,0.45,playwright
missmary.se,Bodywear Leaning,0.405,Miss Mary of Sweden AB,Miss Mary of Sweden AB,Sweden,Sweden,Dealfront,vision_screenshot:0.45;text_extraction_failed,0.0,0.45,playwright
girlsmusthave.com,Bodywear Leaning,0.4,GIRLS MUST HAVE,GIRLS MUST HAVE,,,HS fairs,bodywear:swim;vision_screenshot:0.00,0.8,0.0,http+vision
simone-perele.fr,Bodywear Leaning,0.4,Simone Perele,Simone Perele,France,France,HS fairs|HS segment,"bodywear:lingerie,shapewear,loungewear,nuit;generalist:accessoires;vision_screenshot:0.00",0.8,0.0,http+vision
wacoallingerie.com,Pure Bodywear,0.9950248756218906,WACOAL,WACOAL|Wacoal Europe LTD.,France,France|United Kingdom,Dealfront|Salon,"bodywear:lingerie,bras,briefs,nightwear,shapewear",0.9950248756218906,,http
elomilingerie.com,Pure Bodywear,0.9948453608247424,Elomi,Elomi,United Kingdom,United Kingdom,e-com retailers,"bodywear:lingerie,bras,briefs,swimwear,swim",0.9948453608247424,,http
beachnbeyond.com,Pure Bodywear,0.9942857142857144,BEACH & BEYOND SWIMWEAR,BEACH & BEYOND SWIMWEAR,,,HS fairs,bodywear:bikini,0.9942857142857144,,http
wacoallingerie.fr,Pure Bodywear,0.9942196531791908,FREYA,FREYA,France,France,HS fairs,"bodywear:lingerie,shapewear,slips,nuit",0.9942196531791908,,http
freyalingerie.com,Pure Bodywear,0.9935483870967742,Freya,FREYA|Freya,United Kingdom,France|United Kingdom,FU|Salon|e-com retailers,"bodywear:lingerie,bras,briefs,nightwear,swimwear",0.9935483870967742,,http
doralarsen.com,Pure Bodywear,0.9932432432432432,Dora Larsen,Dora Larsen,United Kingdom,United Kingdom,FU|HS fairs,"bodywear:lingerie,bras,briefs,swim,bikini",0.9932432432432432,,http
